Name,Java code,nb lines,code size,class size,class files
tjk.deBroglie_rev0071.jar,No,0,22399,127488,36
deo.FlowerBot_1.0.jar,No,0,1855,11508,2
pedersen.Hubris_beta.5.jar,No,0,40085,460518,182
voidious.Diamond_1.254.jar,Yes,5516,24342,133391,28
nz.jdc.micro.HedgehogGF_1.4.jar,No,0,748,8344,2
jk.mega.Druss_0.1.3.jar,Yes,740,3658,15739,4
voidious.Dookious_1.51.jar,Yes,4802,19666,140625,61
ha2.T2_0.2.jar,No,0,1667,9700,4
suh.nano.Probot01L_1.00.jar,Yes,29,107,1379,1
voidious.Dookious_1.23.jar,Yes,8552,37804,202363,49
satan.White_0.25.jar,No,0,687,4547,1
ags.Midboss_1c.jar,No,0,23894,190683,82
lxx.Tomcat_3.37.jar,No,0,39747,363093,155
lxx.Tomcat_3.26.jar,No,0,35787,411554,141
voidious.Dookious_1.41.jar,Yes,4739,19705,139314,61
lxx.Emerald_0.6.5.jar,No,0,215605,2144047,613
voidious.Diamond_1.244.jar,Yes,5515,24259,133184,28
pa3k.Viper_4.31.jar,No,0,34005,171525,74
lxx.Tomcat_3.52.jar,No,0,43479,377974,151
jab.DiamondStealers_5.jar,No,0,13622,84937,42
jk.mega.DrussGT_2.4.0.jar,Yes,6149,41314,133703,30
eem.EvBotNG_v10.3.jar,Yes,10663,47862,270968,81
lxx.Tomcat_3.67a.jar,No,0,42963,377509,157
jk.mega.DrussGT_0.3.9PM.jar,Yes,1382,7366,25952,7
simonton.nano.WeekendObsession_S_1.7.jar,Yes,246,249,3007,1
sp.Megas.Trident_2.5.jar,No,0,7479,39757,7
voidious.mini.Komarious_1.48.jar,Yes,377,1492,9516,4
voidious.team.LuminariousDuo_0.89.jar,Yes,390,1775,11987,5
abc.Shadow_3.77r.jar,No,0,31358,88901,34
lxx.Tomcat_3.47a.jar,No,0,42931,385425,166
acogdev.acogdev_left0.1.jar,No,0,374,2490,1
xander.cat.XanderCat_10.20.jar,Yes,13566,47360,434640,168
voidious.Dookious_1.522.jar,Yes,4828,19822,141245,61
eem.EvBotNG_v11.7.jar,Yes,11110,51086,281353,82
dft.Cyanide_1.90.jar,Yes,832,5542,26478,7
jk.melee.Neuromancer_6.0.jar,Yes,3793,23462,93205,30
justin.DemonicRage_2.1a.jar,No,0,18642,96872,33
pac.ABC_2.0.jar,No,0,1147,6678,3
stelo.Chord_1.0.jar,Yes,507,2398,13572,3
xander.cat.XanderCat_11.5.jar,No,0,49786,448663,168
xander.cat.XanderCat_10.19.jar,Yes,14489,50790,471881,185
timmit.TimmiT_0.22.jar,Yes,413,2164,12065,6
squidM.TentalceMeleeNano_1.1.jar,Yes,58,178,1949,1
satan.R0_0.2.jar,No,0,248,2245,1
wompi.Wallaby_3.0.jar,Yes,497,742,5028,2
jk.melee.Neuromancer_0.5.jar,Yes,2818,15821,73338,23
hapiel.Spiral_0.1.jar,Yes,57,250,2111,1
voidious.Dookious_1.27.jar,Yes,8694,38325,205889,50
dsekercioglu.WhiteFang_1.4.7.jar,No,0,15008,87983,29
davidalves.net.YALT_1.722.jar,No,0,11202,55623,52
sample.Target_1.0.jar,Yes,47,139,2094,2
ds.Versatile_RB1.0.1.jar,No,0,19382,157282,77
aaa.ScalarBot_0.012n1.10.jar,No,0,51878,415765,158
justin.DemonicRage_2.2d.jar,No,0,23206,114883,35
voidious.Diamond_1.196.jar,Yes,5315,23417,129708,28
tjk.Leibniz_0.1.1.jar,No,0,2585,11400,2
kc.micro.Thorn_1.26.jar,Yes,130,745,5431,2
abc.Shadow_3.77t.jar,No,0,31435,87549,33
gh.mini.GrubbmGrunt_0.4.jar,Yes,436,1497,7571,3
jk.mega.DrussGT_2.8.5.jar,Yes,8084,58183,138805,34
el33t.EL33tGangstarr2_2.0.jar,Yes,46,181,1559,1
ags.rougedc.RougeDC_Gamma7a.jar,Yes,4823,20805,168402,62
jk.mega.DrussGT_1.6.5.jar,Yes,4699,31692,106105,27
jk.sheldor.nano.Yatagan_1.2.0.jar,Yes,278,249,18588,1
mn.SuperSittingDuckTeam_1.0.jar,No,0,13,384,1
aaa.ScalarBot_0.012l17.jar,No,0,41232,317996,114
dsekercioglu.Havoc_1.0.jar,No,0,11405,61052,19
eem.EvBotNG_v7.2.jar,Yes,9508,42362,240841,75
apc.Colossus2_0.11.jar,No,0,2223,9706,1
reeder.caden.Grover_1.0.jar,No,0,73,1175,1
hlavko.nano.GSwarm_1.0.jar,Yes,45,246,1985,1
dft.Calliope_5.6.jar,No,0,2216,8593,3
taqho.taqbot_1.0.jar,No,0,7734,47145,12
rsalesc.melee.Monk_0.3.5.jar,No,0,44095,241287,215
eem.EvBotNG_v10.8.jar,Yes,10944,50171,277394,82
jk.mega.DrussGT_0.9.9.jar,Yes,2871,16306,65619,17
voidious.mini.Komarious_1.46.jar,Yes,379,1496,9103,4
aaa.SimpleBot_0.01.jar,No,0,2408,29937,8
simonton.mini.WeeksOnEnd_1.10.4.jar,Yes,1153,1492,31671,2
tjk.deBroglie_rev0045.jar,Yes,4694,19315,111873,33
trm.Wrekt_1.1.6.5642.jar,No,0,12285,50442,26
gh.Griezel_0.5.3.jar,Yes,436,2228,10742,3
ph.musketeer.Musketeer_0.6.jar,Yes,299,1715,11542,4
kc.micro.Thorn_1.142.jar,Yes,116,749,5262,2
pa3k.Viper_4.24.jar,No,0,34130,172402,74
rsalesc.melee.Monk_0.3.1.jar,No,0,38660,205438,181
uji.Antique_1.0.jar,Yes,316,1866,10655,4
tjk.deBroglie_rev0056.jar,Yes,5260,21878,125228,36
abc.Shadow_3.82s.jar,No,0,28523,83531,32
bbo.TheRoof_1.4.3.jar,No,0,1320,5680,1
zyx.mega.YersiniaPestis_1.3.7.2.jar,Yes,4054,20586,135256,55
voidious.team.LuminariousDuo_0.92.jar,Yes,418,1888,10528,5
nzeemin.Izh_0.2.jar,No,0,787,3559,1
jk.mega.DrussGT_1.0.11.jar,Yes,2931,16448,65745,17
lunchie.Lunchbox_0.93.jar,No,0,3869,25824,8
voidious.Dookious_1.16.jar,Yes,7593,34409,170030,28
eem.EvBotNG_v11.8.jar,Yes,11111,51096,281367,82
wompi.Wallaby_5.0.jar,Yes,211,743,5215,1
radnor.DoctorBob_1.50.jar,No,0,249,1736,1
ags.lunartwins.LunarTwins_1.3.jar,Yes,533,1932,17857,7
bvh.mini.Fenrir_0.39.jar,Yes,496,1483,9550,3
ma.is.fon.rs.RobotA_0.01.jar,Yes,62,113,1252,1
dsekercioglu.ColdBreath_1.1.jar,No,0,6517,44437,20
jk.micro.Toorkild_0.2.1b.jar,Yes,212,749,3714,1
nat.nano.Ocnirp_1.72.jar,Yes,289,247,3289,1
voidious.Diamond_1.6.14.jar,Yes,9042,39405,260811,72
unarmedlad.nano.VirginSteele_2.0.jar,No,0,241,2035,1
jk.mega.DrussGT_0.5.10.jar,Yes,2029,10965,34060,9
aaa.SimpleBot_0.024c.jar,No,0,13918,103355,32
fromHell.BlackBox_0.1.jar,No,0,8046,23420,8
spinnercat.micro.Tyger_0.1.jar,No,0,749,5165,2
qwaker00.Gandhi_1.1mini.jar,Yes,220,1396,5806,1
ags.Midboss_1h.jar,No,0,25236,201671,87
mk.Alpha_0.2.1.jar,No,0,8096,29346,21
voidious.Diamond_1.443.jar,Yes,7768,35029,205777,55
tvv.nano.Polaris_1.0.jar,No,0,229,1490,1
sul.Pinkbot_1.0.jar,No,0,210,1854,1
robar.nano.Vespa_0.9.jar,No,0,240,2278,1
ds.Versatile_RB1.0b4.jar,No,0,15518,139553,73
mld.Infinity_2.4.jar,Yes,240,245,2243,1
synapse.Watermelon_3a.jar,No,0,7230,41442,14
rsalesc.melee.Medina_0.3f.jar,No,0,45550,244392,215
robar.micro.Quartz_DEV_1.0.jar,No,0,733,4398,1
voidious.twin.LuminariousDuo_1.11.jar,Yes,425,1978,11242,5
justin.Mallais_10.0.jar,No,0,10297,51428,11
fromHell.CHCl3_1.3.0.jar,No,0,3501,26835,10
nzeemin.Izh_0.4.jar,No,0,1105,4127,1
codemojo.nano.Dummy_0.2.jar,No,0,243,1630,1
jk.mega.DrussGT_1.3.1.jar,Yes,4001,29376,96181,25
stelo.AreaTargetingBot_1.1.jar,Yes,144,613,3258,1
intruder.PrairieWolf_2.61.jar,No,0,23780,120299,72
FatalFlaw.FatalFlaw_1.0.5.jar,No,0,2365,9542,3
gh.mini.GrubbmOgre_0.2.jar,Yes,379,1113,6819,3
mz.NanoDeath_2.56.jar,No,0,169,1352,1
non.mega.NaN_0.1.jar,No,0,2901,12884,2
spin.Bugstard_0.012b.jar,No,0,4229,23256,6
divineomega.TrialBot_0.002.jar,No,0,13186,75404,21
voidious.Dookious_1.351.jar,Yes,4777,20206,141690,62
eem.EvBotNG_v9.0.jar,Yes,9941,44715,254302,77
cb.test.Provocateur_1.0.jar,No,0,3222,17344,4
stelo.MirrorNano_1.4.jar,Yes,98,247,1762,1
cs.ExclusionNano_1.3.jar,Yes,75,249,2395,1
jk.melee.Neuromancer_5.4b.jar,Yes,3622,22144,88441,29
dsekercioglu.Havoc_1.5.jar,No,0,5615,26839,5
cre.Karolos_0.31.jar,No,0,36840,140751,58
lxx.Tomcat_3.38.jar,No,0,40919,371932,158
mue.Ascendant_1.1.jar,No,0,18367,69282,28
jk.melee.Neuromancer_0.9.jar,Yes,2904,16541,74941,23
gadsky.Gadsky_1.0.jar,No,0,3384,20533,7
Minew.MiPrimer_0.6b.jar,Yes,341,1681,9705,2
cb.mega.DeepThought_1.0.jar,No,0,12866,40257,22
voidious.team.LuminariousDuo_1.02.jar,Yes,419,1915,10795,5
suh.nano.StopAndGoL_1.00.jar,Yes,53,235,2005,1
tjk.deBroglie_rev0085.jar,Yes,8236,30548,163060,42
dsekercioglu.Tomahawk_5.03.jar,No,0,12166,58224,18
cs.Nene_MC48k7.jar,No,0,16637,87290,27
fromHell.C4H10O_1.5.jar,Yes,125,702,5136,1
cs.Mint_0.14b.jar,No,0,16510,66973,32
nat.micro.NP_1.0.jar,Yes,207,747,5416,2
ar.horizon.Horizon_1.1.3.jar,Yes,2623,9399,90798,33
theo.QuarkSoup_1.5fga.jar,Yes,948,7128,33935,6
wompi.Wallaby_1.2.jar,Yes,205,415,2624,1
voidious.mini.Komarious_1.552.jar,Yes,402,1494,9426,4
bots.UnterExBot_1.0.jar,Yes,85,272,2498,1
lk.nano.Avesnar_1.1.jar,No,0,249,1683,1
aaa.ScalarBot_0.012k2.jar,No,0,38469,302265,109
voidious.Diamond_1.5.13.jar,Yes,7883,32766,197854,53
jk.mega.DrussGT_1.8.10.jar,Yes,4989,33372,111326,27
pulsar.PulsarNano_0.2.4.jar,No,0,249,1729,1
voidious.Dookious_1.544.jar,Yes,5235,21528,154709,70
simonton.mini.WeeksOnEnd_1.10.3c.jar,Yes,1213,1499,31820,2
suh.nano.TargetL_1.00.jar,Yes,29,107,1373,1
jk.mega.DrussGT_0.7.5.jar,Yes,2806,14443,66198,19
wit.Chuliath_1.0.jar,No,0,1767,9417,3
voidious.Diamond_1.7.32.jar,Yes,10945,49186,400347,109
Krabb.sliNk.GarmTeam_0.9v.jar,No,0,226384,468933,0
voidious.Diamond_1.6.7.jar,Yes,9454,41191,267252,72
mn.nano.perceptual.BotCatcher_1.0.0.jar,No,0,185,1582,1
ags.Midboss_1o.jar,No,0,26480,210512,91
jk.micro.Toorkild_C2K9.jar,Yes,184,827,3985,1
cf.mini.Chiva_1.0.jar,Yes,216,1481,8195,2
nz.jdc.nano.PralDeGuerre_1.1.jar,No,0,249,2842,1
suh.nano.RambotC_1.01.jar,Yes,57,240,2099,1
wompi.Wallaby_2.6.jar,Yes,429,742,4897,2
rsalesc.mega.Knight_0.6.8H.jar,No,0,61184,287126,238
pa3k.Viper_4.28.jar,No,0,34274,171841,74
ebo.Tahoe_1.0.0.jar,No,0,7149,57137,23
dsekercioglu.Rechner_1.07.jar,No,0,13034,91454,33
disan.Ghost.jar,Yes,105,1337,2937,1
oog.micro.SavantMicro_0.2.jar,No,0,750,4997,2
voidious.mini.Komarious_1.35.jar,Yes,387,1499,11352,4
voidious.mini.Komarious_1.42.jar,Yes,377,1491,9497,4
abc.tron3.Shadow_3.55.1.jar,No,0,21465,60136,21
aaa.ScalarBot_0.012n2.7.70.jar,No,0,61984,490222,182
cmt.SteffBot_1.0.jar,Yes,42,111,1148,1
jk.mega.DrussGT_1.0.5b.jar,Yes,2917,16460,65827,17
pa3k.Viper_4.00.jar,No,0,29015,179235,61
cjm.chalk.Chalk_2.5.Ne.jar,Yes,1526,8276,39132,12
voidious.mini.Komarious_1.34.jar,Yes,376,1495,11052,4
positive.Portia_1.18.jar,No,0,42104,115897,80
bvh.frg.Friga_0.112dev.jar,No,0,1999,9781,4
dsekercioglu.WhiteFang_1.4.0.jar,No,0,16796,96231,33
pez.rumble.CassiusClay_2rho.02nk.jar,Yes,2430,13388,92568,30
sample.TrackFire_1.0.jar,Yes,59,164,1425,1
wompi.Wallaby_4.2.jar,Yes,187,749,5321,2
lxx.Tomcat_3.60a.jar,No,0,42044,367906,155
rjw.RabidWombat_0.71.jar,No,0,11309,131753,77
jk.nano.Machete_0.4.jar,Yes,53,249,1761,1
rsalesc.melee.Medina_0.4.2.jar,No,0,46721,248095,215
reaper.Reaper_1.1.jar,No,0,23605,87820,22
lxx.Emerald_0.6.4.jar,No,0,215599,2144041,613
lxx.Tomcat_3.41p.jar,No,0,41290,371310,159
suzushin7.nano.Galaxy02_1.01.jar,No,0,244,2101,1
voidious.Diamond_1.7.11.jar,Yes,10802,49765,386521,104
wiki.Tyranius_1.0.jar,Yes,5640,36439,197467,49
jk.mega.DrussGT_1.7.8.jar,Yes,5026,33896,111853,27
aw.Gilgalad_1.99.1.jar,Yes,12880,53155,241597,46
jk.mega.DrussGT_1.0.17NVBW.jar,Yes,3026,17151,70214,17
jk.mega.DrussGT_2.1.9.jar,Yes,5876,40740,129612,28
dmh.robocode.robot.PinkPanther_1.1.jar,No,0,1455,13365,6
zyx.micro.Ant_2.0.jar,Yes,111,750,4620,2
WdV.Lesserbee_0.01.jar,No,0,1755,5863,1
labg.Cataclysm_2.05.jar,No,0,15691,91238,22
voidious.Diamond_1.31.jar,Yes,5995,26738,144400,30
jk.mega.DrussGT_0.8.4.jar,Yes,3054,15364,69270,19
techdude.Carruthers_1.2.1.jar,No,0,15119,136472,71
pez.rumble.CassiusClay_2rho.02ma.jar,Yes,2271,12353,86712,28
voidious.Dookious_1.511.jar,Yes,4800,19658,140563,61
aaa.ScalarBot_0.012n2.4.5.jar,No,0,57244,458983,176
dmh.robocode.robot.BlueBerry_0.5.jar,No,0,227,2455,1
extra.Sauce_0.01.jar,Yes,58,259,2084,1
jk.mini.Cunobelin_0.2.0.jar,Yes,417,1499,7664,2
stelo.PastFuture_2.1.6.jar,Yes,1291,6664,28444,4
EH.Fusion_0.32.jar,Yes,165,698,3824,1
pez.rumble.CassiusClay_2rho.02nd.jar,Yes,2299,12013,85673,28
sheldor.nano.Sabreur_1.1.1.jar,Yes,101,249,2213,1
rsalesc.mega.Knight_0.3.jar,No,0,35188,184046,156
mladjo.GnuKlub_0.1.jar,No,0,2022,11747,3
asd.Cthulhu_1.3.jar,No,0,7461,49672,19
aaa.ScalarBot_0.012l34.jar,No,0,42473,337407,119
voidious.Diamond_1.33.jar,Yes,6190,27743,153821,38
wcsv.mega.PowerHouse2_0.2.jar,No,0,9235,58377,20
ags.Glacier_0.2.6.jar,Yes,3159,15587,105282,38
squidM.SurfinUSA_1.0.jar,Yes,389,1531,9495,2
kawigi.twin.MarioBros_1.0.jar,Yes,404,1997,10797,4
rampancy.Durandal_2.0.jar,No,0,10773,111764,58
dsekercioglu.Havoc_1.1.jar,No,0,10302,56796,18
xander.cat.XanderCat_10.22.jar,Yes,13735,48265,439393,168
wompi.Wallaby_4.9.jar,Yes,205,747,5184,1
jk.micro.Toorkild_0.1.5.jar,Yes,200,748,3696,1
donjezza.Jezza_1.0.jar,Yes,92,246,1985,1
dsekercioglu.Rechner_1.12.jar,No,0,14315,97144,34
ags.Midboss_1d.jar,No,0,24170,193407,84
wompi.TassieDevils_1.4.jar,Yes,564,1952,11761,6
ags.micro.Carpet_1.0.jar,Yes,140,740,3947,1
hlavko.nano.GSwarm_1.1.jar,Yes,45,248,1944,1
xander.cat.XanderCat_12.6.jar,Yes,16659,58221,541479,204
wiki.DiamondHawk_1.0.jar,Yes,4156,18201,101395,21
davidalves.Firebird_0.25.jar,No,0,29094,112161,52
mcb.Audace_1.3.jar,No,0,3034,20082,20
dsekercioglu.SwordOfFire_1.4fix.jar,No,0,7653,49941,22
rus.vv.Snezhok_1.0a.jar,No,0,1232,5367,1
cb.DeepThought_1.0.jar,No,0,1628,13343,8
mme.NikeEnhanced_2.0.jar,Yes,103,388,2953,1
voidious.Dookious_1.52.jar,Yes,4804,19640,140525,61
kc.micro.rammer.MaxRisk_0.6.jar,Yes,92,748,3279,1
fromHell.CHCl3_1.4.0.jar,No,0,2762,25264,8
voidious.Diamond_1.5.18.jar,Yes,8206,34327,205916,55
voidious.TripHammer_R2.0.0RM.jar,Yes,11617,49046,314775,79
cs.ags.Etna_1.1.jar,No,0,29584,201577,83
jk.mega.DrussGT_1.6.7d.jar,Yes,4871,32579,109311,27
jk.micro.Toorkild_0.1.3.jar,Yes,188,733,3595,1
aw.Gilgalad_1.99.4.jar,Yes,13241,54355,249011,48
jk.mega.DrussGT_2.0.6.jar,Yes,5600,38965,124556,28
josago.Jorgito_0.16.jar,No,0,5648,30204,9
voidious.mini.Komarious_1.731.jar,Yes,348,1493,8061,2
mn.CombatTeam_3.7.0.jar,No,0,21361,75123,0
dft.Freddie_1.32.jar,No,0,247,1898,1
wiki.MaxLander_1.0.jar,Yes,116,706,3228,1
conscience.Electron_1.0.jar,No,0,245,1971,1
sp.Megas.Trident_2.4.jar,No,0,7389,39509,7
step.nanoPri_1.0.jar,Yes,53,246,1723,1
jk.mega.DrussGT_0.8.6.jar,Yes,3238,16349,73280,20
pa3k.Viper_3.05.jar,No,0,21989,136287,43
pa3k.Viper_3.32.jar,No,0,27611,174555,61
oog.micro.SavantMicro_1.1.jar,No,0,728,5392,1
voidious.mini.Komarious_1.755.jar,Yes,349,1473,8031,2
cb.Sabertooth_1.0.jar,No,0,244,2219,1
aaa.ScalarBot_0.012n1.11.jar,No,0,51921,415833,158
aw.Gilgalad_1.98.jar,Yes,12833,53174,241153,46
robo.PartsBot_1.1.jar,No,0,1758,14814,8
abc.Shadow_3.73.jar,No,0,30249,83483,33
apc.FaceOfBoe_1.04.jar,No,0,10718,50906,9
cx.micro.Smoke_0.96.jar,Yes,180,746,5374,2
buba.Buba_0.1.jar,No,0,226,1506,1
voidious.team.LuminariousDuo_0.90.jar,Yes,411,1935,12756,5
areb.Union_1.06.jar,No,0,11335,38304,9
pi.Dark_10.jar,Yes,1857,8789,52467,31
darkcanuck.Holden_1.12a.jar,No,0,31293,110540,56
kvk.HebusLeTroll_0.41.jar,Yes,553,15071,111208,52
kc.twins.GeminiTeam_1.1.jar,No,0,1809,8996,0
nan.Ihivatar_Mk_1_1.0.jar,Yes,352,1783,9884,2
ags.lunartwins.LunarTwins_1.2.jar,Yes,533,1932,17305,7
voidious.Diamond_1.05.jar,Yes,4590,20307,116806,28
jk.Waylander_0.2.2.jar,Yes,144,748,3241,1
suh.Probot03_1.00.jar,Yes,38,208,1809,1
suh.nano.RandomPM_1.00.jar,Yes,64,235,2575,1
rc.yoda.Yoda_1.0.6c.fix.jar,Yes,4030,13127,82490,23
tad.Dalek98_0.98.jar,No,0,24774,48422,2
ds.Versatile_RB1.0b5.jar,No,0,15788,142177,74
voidious.Diamond_1.16.jar,Yes,5251,23452,130013,28
rsalesc.mega.Knight_0.6.18.jar,No,0,46985,251449,210
suh.nano.CrossC_1.00.jar,Yes,55,242,2057,1
t3.Ripper_1.0.jar,Yes,66,273,2101,1
kawigi.robot.Girl_1.2.jar,Yes,275,1802,9035,3
positive.Portia_1.20.jar,No,0,39633,110846,81
voidious.Dookious_1.481.jar,Yes,4720,19530,139371,61
Polkwane.Piyane_0.7b.jar,Yes,341,1681,9716,2
darwinsnightmare.DNGEN474UI85390C20S0R528_1.0.jar,No,0,34555,38607,1
voidious.mini.Komarious_1.763.jar,Yes,351,1498,7941,2
jk.micro.Toorkild_0.1.2.jar,Yes,172,749,3705,1
cs.ZigZag_1.0.jar,No,0,246,1568,1
divineomega.TrialBot_0.003.jar,No,0,13186,75404,21
pulsar.Nanis_0.3.jar,No,0,246,1711,1
wompi.Wallaby_2.1.jar,Yes,444,748,4845,2
barontrozo.BaronTrozo_1.4.jar,Yes,2174,10940,61715,19
aaa.ScalarBot_0.012l45.jar,No,0,46410,367552,132
lxx.Neutrino_0.1.jar,No,0,76043,1474914,569
jk.mega.DrussGT_1.8.11.jar,Yes,5017,33549,111742,27
ds.Versatile_RB1.0b10.jar,No,0,18368,150960,75
eem.EvBot_v4.3.0.jar,No,0,19298,97764,26
cs.s2.Seraphim_2.1.1.jar,Yes,2591,13803,71691,18
stelo.MatchupMicro_1.2.jar,Yes,210,746,3766,1
rz.GlowBlowAPM_1.0.jar,No,0,1440,8364,3
kc.micro.Thorn_1.21.jar,Yes,125,749,5336,2
jk.mega.DrussGT_2.8.11.jar,Yes,7299,51731,130077,34
rsalesc.mega.Knight_0.5.1.jar,No,0,42197,229623,196
darkcanuck.Gaff_1.50.jar,No,0,32953,126501,57
wompi.Wallaby_3.3.jar,Yes,549,746,5376,2
satan.R0_0.1.jar,No,0,239,2098,1
pez.rumble.CassiusClay_2rho.02hb.jar,Yes,2202,11780,85899,28
positive.Portia_1.13.jar,No,0,39752,106606,74
as.FrankTheTank_1.3.jar,No,0,1119,6136,1
jk.sheldor.nano.Yatagan_1.1.4.jar,Yes,183,248,2811,1
jk.mega.DrussGT_0.3.10PM.jar,Yes,1384,7781,26462,7
tobe.Saturn_lambda.jar,Yes,1504,8195,47340,19
jcz.linio.Linio_2.0.H.jar,No,0,35318,113934,24
aaa.ScalarBot_0.01c.jar,No,0,27433,218788,80
justin.Demon_0.7b.jar,No,0,28663,154947,48
aaa.ScalarBot_0.012l1.jar,No,0,38742,303182,109
dft.Krazy_1.5.jar,Yes,185,1506,7499,2
cjm.chalk.Chalk_2.6.jar,Yes,1963,10746,50400,16
cb.mega.Firestarter_1.0.jar,No,0,10345,66981,22
divineomega.DivineBot_1.5.3.jar,No,0,6718,38069,11
qwaker00.Ahchoo_1.2.jar,Yes,625,5106,16921,4
jlm.javaDisturbance_0.59.jar,No,0,7511,29138,5
sgp.JollyNinja_3.53.jar,Yes,6149,23654,147112,48
gjr.Cephalosporin_0.2.jar,No,0,2598,23619,11
dmh.robocode.robot.BlackDeath_8.13.jar,No,0,27148,234248,78
kawigi.micro.ShizPair_1.1c.jar,No,0,749,5104,2
jk.mega.DrussGT_1.3.6.jar,Yes,4248,31269,102825,26
disan.Chair_2.2.0.jar,Yes,112,541,3103,1
rsalesc.melee.Medina_0.3.8.jar,No,0,45434,243968,215
jk.mega.DrussGT_1.8.7TCMGc.jar,Yes,4974,32505,109229,27
arthord.MannyPacquiao_Delta.jar,No,0,249,1911,1
abc.Shadow_3.74b.jar,No,0,32564,88360,34
jaw.Mouse_0.11.jar,No,0,745,3967,1
fromHell.BlackBox_0.0.2.jar,No,0,8016,23390,8
voidious.Diamond_1.5.20.jar,Yes,8238,34447,205981,55
pa3k.Viper_5.00.jar,No,0,35090,177252,76
apv.LauLectrik_1.2.jar,No,0,2861,13134,2
kawigi.nano.ThnikkaBot_0.9.jar,Yes,70,248,1729,1
justin.DemonicRage_2.1d.jar,No,0,21575,109856,35
mld.Moebius_2.0.jar,Yes,151,246,2430,1
jk.melee.Neuromancer_1.4.jar,Yes,2970,17312,64390,23
jk.mega.DrussGT_1.3.10.jar,Yes,4229,29664,101663,26
eem.EvBotNG_v1.7.jar,No,0,24409,157815,54
chase.c.Wristwatch_1.0.jar,No,0,227,2002,1
voidious.TripHammer_R2.1.0RM.jar,Yes,11587,49083,315107,79
eem.EvBot_v3.7.jar,No,0,13176,65318,20
voidious.Diamond_1.7.34b.jar,Yes,10894,48921,399819,110
voidious.TripHammer_R2.0.0.jar,Yes,11617,49094,314886,79
voidious.Dookious_1.143.jar,Yes,7551,34005,168121,28
